# 常用英语单词 10000 个(Google 万亿语料词频排序;音标/释义来自 ECDICT)
# 格式: 序号	单词	音标	中文释义
307	power	'pauә	n. 力, 体力, 力量, 势力, 动力, 权力, 强国, 乘方, 强度, 幂, 功率；vt. 使...有力量, 供以动力, 激励； DOS外部命令:能控制许多电池电源计算机上的电源管理特性
308	while	hwail	n. 一会儿, (一段)时间；conj. 当...的时候, 虽然；vt. 消磨
309	care	kєә	n. 小心, 照料, 忧虑；vi. 关心, 介意；vt. 在意, 喜欢
310	network	'netwә:k	n. 网络, 广播网, 网状物
311	down	daun	a. 向下的；adv. 下, 下去, 降下；prep. 往下, 沿着；n. 丘陵, 软毛, 开阔的高地
312	computer	kәm'pju:tә	n. 电脑, 电子计算机
313	systems		n. 体制, 体系；制度；系统（system的复数形式）
314	three	θri:	num. 三, 三个
315	total	'tәutl	a. 全体的, 总的, 全然的；vt. 计算...的总和, 共计为；vi. 合计；n. 总数, 全体, 合计；adv. 统统
316	place	pleis	n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位；vt. 放置, 寄予, 认出, 评定, 任命；vi. 名次列前
317	end	end	n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余；v. 结束, 终结, 终止； 结束
318	following	'fɒlәuiŋ	n. 下列各项, 部下, 追随者；a. 下列的, 其次的
319	download		v. transfer a file or program from a central computer to a smaller computer or to a computer at a remote location
320	h	eitʃ	[医] 氢(1号元素), 亨[利](电感单位)
321	him	him	pron. 他
322	without	wi'ðaut	prep. 没有, 不, 在...之外；adv. 在外面, 户外；n. 外面, 外部
323	per	pә:	prep. 每一, 通过, 经, 按照；[经] 每, 按照
324	access	'ækses	n. 通路, 入口, 接近, 进入, 使用权, 发作；vt. 访问, 存取, 接近, 使用
325	think	θiŋk	vt. 想, 考虑, 想起, 想像, 打算, 认为；vi. 思考, 料想；n. 想法；a. 思想的
326	north	nɒ:θ	n. 北方, 北；a. 北的, 北方的；adv. 向北方, 在北方
327	resources		n. 资源；物力（resource的复数）
328	current	'kʌrәnt	n. 涌流, 趋势, 流；a. 流通的, 现在的, 当前的, 流行的
329	posts		n. 标杆；岗位；帖子；邮件（post的复数）
330	big	big	a. 大的, 重要的；adv. 大量地
331	media	'mi:diә	n. 媒体
332	law	lɒ:	n. 法律, 法则, 定律, 法律的制约, 法学, 司法界, 诉讼；v. 起诉
333	control	kәn'trәul	n. 控制, 管理, 克制, 控制器, 操纵装置；vt. 控制, 操纵, 抑制； 控制器
334	water	'wɒ:tә	n. 水, 雨水, 海水, 水位, 水面, 流水；vt. 给...浇水, 供以水, 注入水, 使湿；vi. 流泪, 流口水, 加水；a. 水的, 水上的, 水生的, 含水的
335	history	'histәri	n. 历史, 过去, 经历, 发展过程, 历史学, 过去的事, 历史记录
336	pictures		n. 电影院
337	size	saiz	n. 大小, 尺寸, 规模, 尺码, 能力, 浆料；vt. 上浆, 依大小排列；vi. 可比拟；a. 一定大小的, 一定尺寸的
338	art	ɑ:t	n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术
339	personal	'pә:snl	a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的；[医] 人的; 个人的, 自身的
340	since	sins	prep. 自...以后, 自...以来；adv. 自那时以后；conj. 既然, 自...以后, 自...以来
341	including		prep. 包含, 包括；[经] 包括, 算入
342	guide	gaid	n. 引导者, 导游, 指南, 路标；vt. 指导, 支配, 管理, 带领, 操纵；vi. 任向导
343	shop	ʃɒp	n. 商店, 工厂, 车间；vi. 购物, 到处寻找；vt. 选购
344	directory	di'rektәri	n. 目录, 工商名录, 指南
345	board	bɒ:d	n. 木板, 甲板, 膳食, 会议桌；vt. 乘船, 供膳食, 用板覆盖；vi. 搭伙
346	location	lәu'keiʃәn	n. 位置, 场所, 特定区域
347	change	tʃeindʒ	n. 变化, 找回的零钱, 找头, 更换；vt. 改变, 更换, 兑换
348	white	hwait	n. 白色, 洁白, 眼白, 白种人, 蛋白；a. 白色的, 纯洁的, 白种的, 苍白的, 空白的, 幸运的
349	text	tekst	n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱； 文本; 正文
350	small	smɒ:l	a. 小的, 少的, 小型的, 低微的, 小气的, 细微的；adv. 些微地；n. 狭小部分
351	rating	'reitiŋ	n. 等级, 额定功率, 责骂；[经] 等级评定
352	rate	reit	n. 比率, 率, 速度, 价格, 费用, 等级；vt. 估价, 认为, 鉴定等级, 责骂；vi. 被评价, 责骂
353	government	'gʌvәnmәnt	n. 政府, 内阁；[经] 政府, 政治, 政体
354	children	'tʃildrәn	pl. 孩子, 孩子们
355	during	'djuәriŋ	prep. 在...的时候
356	usa	ju: es 'ei	美国, 美利坚合众国, 美国陆军
357	return	ri'tә:n	n. 回来, 返回, 来回票, 归还, 报答, 利润率, 报告书；a. 返回的, 回程的, 报答的, 反向的, 重现的, 复原的；vi. 返回, 归还, 回来；vt. 归还, 还, 回报, 产生, 反射, 报告, 申报, 退回
358	students		n. （尤指大专院校的）学生（student的复数）
359	v	vi:	[医] 钒(23号元素)
360	shopping	'ʃɒpiŋ	n. 买东西, 购物；[经] 购物, 买东西
361	account	ә'kaunt	n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目；vi. 报帐, 解释, 导致, 报偿, 占, 杀死；vt. 认为
362	times	taimz	n. 时代, 境遇, 时报
363	sites		n. 遗址, 举办地点；网站（site的复数）
364	level	'levl	n. 水平, 水准, 平地；a. 同高的, 平坦的, 齐平的, 水平的；vt. 弄平, 夷平, 使同等, 瞄准, 对准；vi. 变平, 拉平
365	digital	'didʒitәl	a. 数字显示的, 数字的；n. 数字仪表, 数字式电子表(或时钟)
366	profile	'prәufail	n. 侧面, 轮廓, 传略；vt. 描绘...轮廓, 写...的传略； 剖面图法; 剖面法
367	previous	'pri:viәs	a. 早先的, 前面的, 过急的；[法] 以前的, 生前的, 前述的
368	form	fɒ:m	n. 形状, 形体, 类型, 方式, 表格, 形式；v. 形成, 排列, (使)组成；n. 表单
369	events		n. 事件；[体育]项目（event的复数）
370	love	lʌv	n. 爱, 恋爱, 爱情, 爱好, 性爱；vt. 爱, 爱好, 爱慕；vi. 爱
371	old	әuld	n. 以前, 往昔；a. 老的, 旧的, 古老的, 年长的, 老练的
372	john	dʒɔn	n. 盥洗室, 厕所, 嫖客
373	main	mein	n. 主要部分, 干线, 体力, 力量, 主群组；a. 主要的, 重要的, 全力的
374	call	kɒ:l	n. 呼叫, 访问, 打电话, 号召, 召集, 要求；vt. 呼叫, 召集, 打电话；vi. 叫喊, 访问, 叫牌； 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件
375	hours		n. 小时（hour的复数形式）
376	image	'imidʒ	n. 影像, 肖像, 想象, 图像, 形象, 翻版；vt. 作...的像, 反映, 想象, 象征；n. 图像
377	department	di'pɑ:tmәnt	n. 部门, 系, 机关；[医] 部, 科
378	title	'taitl	n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕；vt. 授予头衔, 加标题于
379	description	di'skripʃәn	n. 描述, 说明, 种类；[经] 说明书(物品), 品名种类, 货物名称
380	non	nɔn	adv. 非, 不
381	k	kei	[医] 钾(19号元素)
382	y	wai	[医] 钇(39号元素)
383	insurance	in'ʃurәns	n. 保险, 保险业, 保险费；[医] 保险
384	another	ә'nʌðә	a. 另外的, 再一的, 不同的；pron. 又一个, 另一个, 类似的另一个
385	why	hwai	adv. 为什么；n. 原因, 理由
386	shall	ʃæl	aux. 将
387	property	'prɒpәti	n. 财产, 所有权, 性质, 属性
388	class	klɑ:s	n. 班级, 阶级, 种类, 课；vt. 分类； 类; 种类; 类程
389	cd		n. 镭射碟, 镭射唱片
390	still	stil	n. 蒸馏室, 寂静, 剧照；v. 蒸馏, (使)平静, (使)静止；a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的；adv. 仍然, 更, 静止地；conj. 然而, 但是
391	money	'mʌni	n. 金钱, 一笔款, 财富, 货币, 金额；[经] 货币, 金钱, 财产
392	quality	'kwɒlәti	n. 品质, 特性, 才能, 质量；a. 优质的
393	every	'evri	a. 每一, 所有的
394	listing	'listiŋ	[经] 挂牌, 上市, 编表
395	content	kәn'tent	n. 内容, 满足, 意义, 要旨；a. 满足的, 满意的；vt. 使...满足, 使...安心
396	country	'kʌntri	n. 国家, 乡村, 地区, 故乡；a. 乡下的, 农村的
397	private	'praivit	a. 私人的, 秘密的, 私立的, 隐蔽的；n. 士兵, 隐士, 阴部
398	little	'litl	n. 一点点, 少许, 一会儿, 短时间；a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的；adv. 很少, 稍微, 完全不
399	visit	'vizit	n. 拜访, 访问, 游览, 视察；vt. 拜访, 访问, 参观, 视察, 降临；vi. 访问, 参观, 闲谈
400	save	seiv	n. 救球；vt. 解救, 挽救, 储蓄, 保存, 节省, 保留；vi. 挽救, 节省, 救球；prep. 除...之外
401	tools	tu:lz	n. 工具, 工具菜单；工具箱（tool的复数形式）
402	low	lәu	n. 低点, 低价, 低, 牛叫声；a. 低的, 消沉的, 低等的, 浅的, 卑贱的；adv. 低下地, 谦卑地, 低；vi. 牛叫
403	reply	ri'plai	n. 答复, 回答, 答辩；vi. 答复, 回答, 回击, 反响, 答辩；vt. 回答
404	customer	'kʌstәmә	n. 消费者；[化] 顾客
405	december	di'sembә	n. 十二月
406	compare	kәm'pєә	vt. 比较, 比喻, 对照；vi. 相比；n. 比较
407	movies	'mu:vis	n. 电影
408	include	in'klu:d	vt. 包括, 把...算入, 包住
409	college	'kɒlidʒ	n. 学院, 大学, 学会
410	value	'vælju:	n. 价值, 价格, 购买力, 评价, 估价, 计算结果；vt. 评价, 估价, 重视
411	article	'ɑ:tikl	n. 文章, 冠词, 物品, 物件, 条款, 契约
412	york	jɔ:k	n. 约克郡；约克王朝
413	man	mæn	n. 男人, 人类, 人；vt. 为...配备人手, 操纵, 使振奋
414	card	kɑ:d	n. 卡片, 纸牌, 节目单, 明信片, 梳棉机；vt. 备置卡片, 记于卡片上, 梳理
415	jobs	dʒɔbs	n. 工作（job的复数形式）
416	provide	prә'vaid	vt. 提供, 供应, 规定, 预备；vi. 作准备, 抚养, 规定
417	j	dʒei	n. 字母j
418	food	fu:d	n. 食物, 养料；[医] 食物, 食品
419	source	sɒ:s	n. 来源, 水源, 根源, 原始资料, 源
420	author	'ɒ:θә	n. 作家, 作家的著作, 创始人；[法] 作者, 著作人, 本人
421	different	'difәrәnt	a. 不同的；[机] 差动, 微分的, 差速器
422	press	pres	n. 压, 揿, 按, 人群, 印刷机, 压力, 出版社, 记者, 报刊, 新闻舆论, 紧迫；vt. 压, 压榨, 紧抱, 逼迫, 推进, 强迫征募, 催逼；vi. 压, 重压, 催促, 拥挤, 奋力前进, 受压
423	u	ju:	a. 适于各种年龄观众的；n. 适合各种年龄的人观看的影片
424	learn	lә:n	vt. 学习；认识到；得知
425	sale	seil	n. 出售, 卖, 拍卖, 销售额, 廉价出售；[经] 卖, 出售; 销售(货)
426	around	ә'raund	prep. 包围, 在...周围, 四处；adv. 兜着圈子, 在附近, 到处
427	print	print	n. 打印, 版, 印刷物, 痕迹, 印刷业, 印刷字体, 图片, 印花布, 印章；v. 打印, 印刷, 铭记, 留印记于, 用印刷体写
428	course	kɒ:s	n. 课程, 路线, 过程, 一道菜, 道路；v. 追, (使)跑
429	job	dʒɒb	n. 工作, 零活, 职业, 事情；vi. 做零工, 打杂, 做股票经纪, 假公济私；vt. 代客买卖, 批发, 承包, 欺骗
430	canada	'kænәdә	n. 加拿大
431	process	'prɒses	n. 程序, 进行, 过程；vt. 加工, 使...接受处理, 对...处置, 对...起诉；a. 经加工的, 有特殊光效的
432	teen	ti:n	n. 愤怒, 悲哀
433	room	ru:m	n. 房间, 空位, 场所；vi. 住宿, 居住；vt. 留宿
434	stock	stɒk	n. 树干, 祖先, 血统, 原料, 备料, 库存, 牲畜, 股票, 股份, 保留剧目；a. 存货的, 常备的, 平凡的, 普通的, 股票的, 保留剧目的, 繁殖用的；vt. 装把手于, 进货, 备有, 放牧；vi. 出新芽, 备货, 囤积
435	training	'treiniŋ	n. 训练, 培养；[医] 训练
436	too	tu:	adv. 也, 非常, 太
437	credit	'kredit	n. 信用, 信任, 荣誉, 贷款, 学分；vt. 归功于, 赞颂, 信任, 相信
438	point	pɒint	n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位；vt. 弄尖, 强调, 指出, 加标点于, 瞄准；vi. 指, 指向, 表明
439	join	dʒɒin	vi. 参加, 结合, 加入；vt. 连接, 结合, 参加, 加入；n. 连接, 结合, 接合点； 汇合指令
440	science	'saiәns	n. 科学, 学科, 学问, 自然科学；[医] 科学
441	men	men	pl. man的复数
442	categories		n. 分类；类别（category的复数）
443	advanced	әd'vɑ:nst	a. 在前的, 高级的, 先进的, 年老的；[法] 预付的, 预支的, 垫付的
444	west	west	n. 西方, 西部；a. 西方的, 向西的；adv. 向西, 自西方, 在西方
445	sales		a. 销售的
446	look	luk	n. 一看, 神色, 样子, 面容；vi. 看, 注意, 朝着, 显得；vt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待
447	english	'iŋgliʃ	n. 英语；a. 英文的, 英国人的
448	left	left	a. 左边的, 左倾的, 左侧的, 左派的；adv. 在左面；n. 左, 左面, 左派；leave的过去式和过去分词
449	team	ti:m	n. 队, 组；vt. 把马(牛)套在同一辆车上, 把...编成一组；vi. 驾驶卡车, 协作
450	estate	i'steit	n. 不动产, (人生的)阶段, 阶层, 财产；[经] 房地产, 遗产, 财产
451	box	bɒks	n. 盒子, 箱, 方框, 一巴掌；vt. 装...入盒中, 装箱, 打耳光；vi. 拳击
452	conditions		n. 形势, 情况, 环境
453	select	si'lekt	a. 挑选出来的, 极好的；v. 选择, 挑选；n. 被挑选者, 精萃
454	windows	'windәjz	n. 微软公司生产的“视窗”操作系统
455	photos		n. 照片, 图片；相册（photo的复数形式）
456	gay	gei	a. 欢快的, 艳丽的, 快乐的, 放荡的
457	thread	θred	n. 线, 丝, 纤维, 线索；vt. 穿线于, 穿过, 通过, 用线穿成；vi. 穿过
458	week	wi:k	n. 星期, 周
459	category	'kætigәri	n. 种类, 类项
460	note	nәut	n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会；vt. 记录, 注解, 注意
461	live	liv.laiv	a. 活的, 生动的, 精力充沛的, 实况转播的；vi. 活, 生存, 居住；vt. 过着, 度过, 经历；adv. 实况地
462	large	lɑ:dʒ	a. 大的, 大量的, 宽大的, 广博的；adv. 大大地, 夸大地
463	gallery	'gælәri	n. 走廊, 最高楼座, 画廊, 收集, 图库
464	table	'teibl	n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层；vt. 搁置, 嵌合, 制表, 把...列入议事日程
465	register	'redʒistә	n. 寄存器, 记录, 登记簿, 注册；vt. 记录, 注册, 提示, 表达, 把...挂号；vi. 登记, 注册, 挂号
466	however	hau'evә	adv. 然而, 无论如何, 究竟怎样；conj. 然而, 可是
467	june	dʒu:n	n. 六月
468	october	ɒk'tәubә	n. 十月
469	november	nәu'vembә	n. 十一月
470	market	'mɑ:kit	n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路；vt. 在市场上交易, 使上市, 销售；vi. 在市场上买卖
471	library	'laibrәri	n. 图书馆, 藏书, 库
472	really	'riәli	adv. 实际上, 真实地, 实在
473	action	'ækʃәn	n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼；vt. 对...起诉
474	start	stɑ:t	n. 惊起, 出发, 开端, 起点, 吃惊, 有利条件；vi. 开始, 出发, 启动, 跳起, 吃惊, 出现, 松动, 脱落, 起价, 参赛；vt. 使惊起, 开动, 发动, 启动, 开始, 创办, 提议, 使松动, 使脱落, 起用
475	series	'siәri:z	n. 串联, 序列, 连续, 系列, 丛书, 套, 级数, 组
476	model	'mɒdәl	n. 模型, 模范, 模特儿；a. 模范的, 作模型用的；vi. 做模型, 做模特儿；vt. 使模仿, 塑造
477	features		n. 容貌；产品特点, 特征；嘴脸（feature的复数）
478	air	єә	n. 空气, 旋律, 态度；vt. 晾, 使通风, 夸耀
479	industry	'indәstri	n. 勤劳, 工业, 企业, 产业, 有组织的劳动；[经] 工业, 实业
480	plan	plæn	n. 计划, 方案, 策略, 方法, 进度表, 程序表, 平面图, 设计图, 轮廓, 示意图；vt. 计划, 设计, 意欲；vi. 订计划
481	human	'hju:mәn	n. 人, 人类；a. 人类的, 似人类的, 人性的, 有同情心的
482	provided	prә'vaidid	conj. 倘若, 以...为条件
483	tv	'ti:'vi:	电视
484	yes	jes	adv. 是；n. 是, 同意；v. 同意
485	required	ri'kwaiәd	a. 必需的
486	second	'sekәnd	n. 秒, 瞬间, 第二名, 支持者, 助手；a. 第二的, 其次的, 次要的, 附加的, 辅助的；num. 第二；vt. 当...助手, 支持
487	hot	hɒt	a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的；adv. 热, 紧迫地
488	accessories		n. 辅助程序
489	cost	kɒst	n. 代价, 价值, 费用；vi. 花费；vt. 使失去, 值, 使花费
490	movie	'mu:vi	n. 电影
491	forums		pl. 论坛, 讨论会, 座谈会, 广播专题讲话节目, 电视专题讲话节目, 法庭
492	march	mɑ:tʃ	n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界；vi. 进军, 前进, 交界；vt. 使行军, 使行进
493	la	lɔ:, lɑ:	[医] 镧(57号元素)
494	september	sep'tembә	n. 九月
495	better	'betә	a. 较好的；adv. 比较好
496	say	sei	vt. 说, 讲, 念, 说明, 指明；vi. 说, 讲；n. 意见, 发言权
497	questions		n. 问题（question的复数）
498	july	dʒu:'lai	n. 七月
499	yahoo	jә'hu:	n. 人面兽心的人, 乡愚, 粗汉
500	going	'gәuiŋ	n. 去, 离去, 工作情况, 地面状况, 行为；a. 进行中的, 流行的, 成功的, 现存的
501	medical	'medikl	n. 医生, 体格检查；a. 医学的, 内科的, 药的
502	test	test	n. 测试, 试验, 化验, 检验, 考验, 甲壳；vt. 测试, 试验, 化验；vi. 接受测验, 进行测试
503	friend	frend	n. 朋友, 支持者, 赞助者；[法] 朋友, 友人, 赞助者
504	come	kʌm	vi. 过来, 来, 到达, 出现, 开始；interj. 喂
505	dec		美国数字电子公司
506	server	'sә:vә	n. 服伺者, 上菜用具, 发球员；n. 服务器
507	pc		个人计算机
508	study	'stʌdi	n. 学习, 研究, 学科, 论文, 求学, 书房, 试作；vt. 学习, 读书, 研究, 考虑, 计划；vi. 学习, 思索
509	application	.æpli'keiʃәn	n. 应用, 申请, 志愿书, 应用程序
510	cart	kɑ:t	n. 二轮运货马车；vi. 驾运货马车；vt. 用车装载
511	staff	stɑ:f	n. 全体人员, 工作班子, 棍棒, 杆, 拐杖, 支柱, 权杖；a. 职员的, 雇员的, 参谋的；vt. 为...配备人员
512	articles		n. 文章；冠词；物品；条款（article的复数）
513	san	sɑ:n	abbr. 存储区域网（Storage Area Networking）
514	feedback	'fi:dbæk	n. 反馈, 反应
515	again	ә'gein	adv. 再一次, 又, 到原处
516	play	plei	n. 游戏, 游玩, 玩笑, 运动, 比赛, 赌博, 跳动, 表演, 剧本；v. 玩, 游戏, 假装, 开玩笑, 比赛, 扮演, 演奏, 演戏, 传摇曳, (使)跳动
